,mask,class 0,class 1,class 2,class 3,class 4,class 5,class 6,class 7,class 8,class 9
0,TOULOUSE/COS9/TOULOUSE_0_mask.tif,596125,438503,1085267,1751,727852,617714,93942,542789,84155,6206
1,TOULOUSE/COS9/TOULOUSE_1_mask.tif,672395,115418,685463,651586,428692,1052016,224175,318613,5441,40505
2,TOULOUSE/COS9/TOULOUSE_2_mask.tif,554994,616691,859937,2578,592175,552474,453009,526188,32204,4054
3,TOULOUSE/COS9/TOULOUSE_3_mask.tif,939296,118294,617876,0,889595,810644,309139,503060,0,6400
4,TOULOUSE/COS9/TOULOUSE_4_mask.tif,982006,19522,397873,475,1180447,655471,213659,599511,136194,9146
5,TOULOUSE/COS9/TOULOUSE_5_mask.tif,795205,42129,734723,0,824417,615682,444805,728637,7581,1125
6,TOULOUSE/COS9/TOULOUSE_6_mask.tif,470166,58601,795298,664147,148479,1525334,26496,450415,53740,1628
7,TOULOUSE/COS9/TOULOUSE_7_mask.tif,625077,217570,890693,23064,667644,922466,215798,610607,20497,888
8,TOULOUSE/COS9/TOULOUSE_8_mask.tif,1002554,19903,911582,0,655760,953573,97731,527277,0,25924
9,TOULOUSE/COS9/TOULOUSE_9_mask.tif,1006325,6862,101439,40958,1432877,781315,134642,689444,0,442
10,ARCACHON/COS9/ARCACHON_0_mask.tif,41184,1526805,287226,378730,407,1928711,0,31241,0,0
11,ARCACHON/COS9/ARCACHON_1_mask.tif,94809,881350,66354,0,46619,3010269,0,92974,0,1929
12,ARCACHON/COS9/ARCACHON_2_mask.tif,327748,33005,71398,1586494,307092,1664953,15295,179210,0,9109
13,ARCACHON/COS9/ARCACHON_3_mask.tif,298,576533,1026897,0,0,2590576,0,0,0,0
14,ARCACHON/COS9/ARCACHON_4_mask.tif,531104,109366,244943,314643,639207,2086232,19371,237768,0,11670
15,ARCACHON/COS9/ARCACHON_5_mask.tif,278786,492781,421197,0,482959,2182824,44638,279663,0,11456
16,ARCACHON/COS9/ARCACHON_6_mask.tif,3132,430957,332500,0,232,3427483,0,0,0,0
17,ARCACHON/COS9/ARCACHON_7_mask.tif,693293,182009,208775,49594,1185734,1250258,139441,458245,19315,7640
18,ARCACHON/COS9/ARCACHON_8_mask.tif,531697,122586,740209,0,816103,1475628,29882,452728,0,25471
19,ARCACHON/COS9/ARCACHON_9_mask.tif,600891,184706,618361,162994,455725,1802089,37764,285129,36203,10442
20,BIARRITZ/COS9/BIARRITZ_0_mask.tif,338963,25051,1069797,0,515372,1660578,75326,407913,82108,19196
21,BIARRITZ/COS9/BIARRITZ_1_mask.tif,337316,10310,911558,21454,883552,731879,582378,706434,0,9423
22,BIARRITZ/COS9/BIARRITZ_2_mask.tif,603161,8861,632768,1050,1045385,813377,355034,725069,0,9599
23,BIARRITZ/COS9/BIARRITZ_3_mask.tif,538660,36980,601580,0,938107,1310782,123187,620805,0,24203
24,BIARRITZ/COS9/BIARRITZ_4_mask.tif,604819,26471,852584,1705,739196,982358,352839,622931,6274,5127
25,BIARRITZ/COS9/BIARRITZ_5_mask.tif,433883,57895,1100885,0,438738,1712128,69598,374691,0,6486
26,BIARRITZ/COS9/BIARRITZ_6_mask.tif,343116,99,1110289,126702,518022,1512251,189486,392031,0,2308
27,BIARRITZ/COS9/BIARRITZ_7_mask.tif,180157,14525,1872275,354961,254920,919267,44326,533256,10803,9814
28,BIARRITZ/COS9/BIARRITZ_8_mask.tif,260566,85366,1266594,13368,330829,1164381,381128,690370,0,1702
29,BIARRITZ/COS9/BIARRITZ_9_mask.tif,138785,125641,1289751,128401,165916,1805429,111132,389516,37777,1956
30,BRISBANE/COS9/BRISBANE_0_mask.tif,385305,129102,1127447,20033,356944,1932491,20214,181251,34588,6929
31,BRISBANE/COS9/BRISBANE_1_mask.tif,285376,10186,504261,947083,505871,1534806,19849,281155,90920,14797
32,BRISBANE/COS9/BRISBANE_2_mask.tif,1369858,3795,84183,684484,1054827,406613,38496,545533,4934,1581
